LNR,RESPONSE
1754,0.026718054
1770,0.026718054
1465,0.010001297
1470,0.008960848
1478,0.015183985
1782,0.008960848
1485,0.007709
1519,0.023851132
1835,0.02140101
1522,0.016934659
1539,0.008960848
1853,0.028886486
1856,0.018986389
2502,0.008605359
2182,0.032338612
2191,0.032507148
2522,0.02140101
2530,0.023851132
2215,0.007709
2550,0.029037572
2570,0.009657858
2574,0.009961777
2579,0.010800883
2247,0.047575943
2674,0.010001297
11434,0.009961777
11122,0.049195886
11127,0.02140101
11443,0.047505122
11170,0.01214566
11191,0.018986389
11198,0.023851132
10936,0.01214566
11244,0.009657858
11247,0.020327661
11252,0.009657858
11259,0.01214566
10945,0.008876455
10951,0.008960848
11271,0.02140101
10963,0.032507148
11282,0.012509989
11291,0.01214566
10980,0.007709
10994,0.007952084
10998,0.01214566
11303,0.016934659
11630,0.007952084
11636,0.007952084
11949,0.009961777
11950,0.020973928
11956,0.035115715
11648,0.01214566
11653,0.02140101
11967,0.007709
11972,0.008960848
11975,0.007709
12110,0.009961777
12113,0.032507148
11712,0.007952084
11716,0.01214566
12000,0.015183985
11722,0.031805158
12023,0.01214566
12046,0.007952084
11762,0.01214566
12071,0.008876455
12077,0.007952084
11785,0.080807053
11788,0.008876455
11790,0.007709
11800,0.021288788
11806,0.008960848
11816,0.008960848
11505,0.009678065
11837,0.007709
11531,0.047575943
11848,0.009657858
11854,0.007709
11877,0.008960848
11563,0.009961777
11567,0.008605359
11894,0.007709
11906,0.008876455
11917,0.01214566
11610,0.01214566
11923,0.009678065
12596,0.009961777
12603,0.010001297
12608,0.026718054
12633,0.007952084
12637,0.009678065
21484,0.01214566
21184,0.008876455
21247,0.009961777
20991,0.013625211
21018,0.007709
21019,0.039212063
21047,0.007952084
21054,0.007952084
21374,0.016934659
21392,0.008876455
21713,0.007952084
22019,0.007952084
22025,0.053359829
21722,0.026718054
21728,0.007952084
22039,0.01214566
22044,0.009961777
61900,0.008605359
62548,0.022058325
63176,0.007709
64473,0.057763979
64779,0.042991154
64780,0.007952084
64784,0.007952084
65105,0.01214566
65431,0.035403319
65433,0.053359829
66055,0.008960848
66071,0.01214566
61280,0.023851132
61281,0.026718054
61284,0.007952084
61597,0.007952084
61606,0.008960848
62235,0.029037572
62240,0.007952084
62241,0.007709
62555,0.023851132
62557,0.010884581
62565,0.008876455
62566,0.023726372
63515,0.008876455
63524,0.026578706
64797,0.008960848
65116,0.01214566
75249,0.007709
75253,0.0257836
75575,0.01214566
76212,0.0260689
71422,0.008960848
72059,0.02140101
72060,0.012118628
72383,0.007952084
72386,0.015183985
72700,0.047505122
72715,0.010001297
73028,0.026718054
73346,0.011222596
73658,0.009657858
73662,0.0257836
73666,0.01214566
73668,0.01214566
73985,0.05153371
74299,0.007952084
74310,0.049999677
74312,0.02140101
74619,0.013956727
74620,0.008960848
74627,0.007952084
74938,0.008960848
74952,0.02140101
75911,0.007952084
75913,0.007952084
76221,0.008960848
76227,0.012509989
71448,0.009961777
15887,0.013956727
15498,0.013956727
15504,0.018986389
15507,0.010001297
15521,0.007709
24403,0.007952084
24100,0.02140101
24436,0.009657858
24440,0.007709
24442,0.01214566
24148,0.007709
24149,0.008960848
24155,0.007952084
24458,0.008876455
24169,0.023851132
24477,0.039212063
24479,0.008960848
24486,0.023851132
24190,0.026718054
24515,0.029037572
24214,0.02140101
25183,0.01214566
25207,0.008960848
24889,0.026718054
24890,0.007709
25226,0.010884581
25232,0.010884581
25244,0.007952084
25339,0.007709
25355,0.026718054
24958,0.016934659
25277,0.008605359
25286,0.023851132
24988,0.01214566
25298,0.008960848
25309,0.023851132
25315,0.008960848
25014,0.01214566
25322,0.008876455
25333,0.026718054
25025,0.01214566
24726,0.010800883
24735,0.01214566
25055,0.007709
25056,0.026718054
24746,0.026718054
25061,0.008960848
25067,0.011222596
25074,0.009961777
24773,0.008876455
25080,0.01214566
25086,0.026718054
25088,0.008605359
24777,0.007952084
24796,0.008605359
25104,0.007952084
24806,0.010884581
25118,0.010001297
24822,0.01214566
82811,0.047575943
83449,0.029037572
83459,0.01214566
83770,0.01214566
84091,0.007952084
84096,0.007709
84737,0.01765178
85048,0.01214566
85049,0.026718054
85051,0.012118628
85369,0.008960848
85374,0.013625211
85380,0.011222596
82190,0.007952084
82505,0.01214566
82515,0.011222596
82517,0.008605359
82821,0.01214566
83140,0.01214566
788,0.010884581
1102,0.007952084
1109,0.012509989
821,0.008960848
829,0.008605359
837,0.02140101
845,0.01214566
1163,0.029037572
861,0.01214566
899,0.015183985
1207,0.026578706
906,0.010001297
1221,0.042335127
1545,0.008960848
1546,0.031376749
1555,0.009657858
1556,0.032507148
1879,0.007709
1885,0.02140101
1593,0.008960848
1902,0.026718054
1611,0.007952084
1921,0.007952084
1927,0.0260689
1651,0.007952084
1978,0.026718054
1718,0.009678065
1722,0.010001297
1734,0.02313967
41705,0.009657858
41711,0.01214566
41712,0.007952084
42029,0.016934659
42347,0.014741663
42352,0.018986389
42353,0.008960848
42671,0.02140101
42987,0.007709
43310,0.009982613
43627,0.008960848
43629,0.010001297
43945,0.010884581
43953,0.009657858
43954,0.067489363
43961,0.008605359
44280,0.007952084
44917,0.007709
44924,0.015183985
44927,0.007709
45244,0.007952084
45570,0.029037572
45584,0.008960848
41721,0.007952084
41739,0.01214566
42054,0.015183985
42369,0.007709
42689,0.009657858
43019,0.008605359
43331,0.029037572
51328,0.018986389
51644,0.023851132
51653,0.022635624
51969,0.008605359
52308,0.028875936
52310,0.008605359
52626,0.023851132
52638,0.007952084
52940,0.007709
52954,0.047575943
55194,0.01214566
55196,0.010884581
55526,0.01214566
55847,0.007952084
55848,0.01214566
51024,0.01214566
51031,0.012509989
51342,0.026718054
51348,0.01214566
51666,0.013113271
51674,0.008876455
51680,0.039587572
52331,0.009657858
53302,0.01214566
82163,0.044026136
82481,0.015183985
82498,0.020327661
55852,0.01214566
55858,0.012509989
55859,0.007952084
51037,0.01214566
51039,0.007709
51683,0.016595202
51685,0.009961777
51695,0.013625211
51702,0.007709
52343,0.02140101
52353,0.01214566
53314,0.01214566
53322,0.010884581
53950,0.026718054
54597,0.007709
54925,0.008960848
55245,0.0257836
55558,0.01214566
55882,0.015183985
51384,0.007709
51703,0.026718054
51706,0.010884581
51711,0.032507148
52041,0.008960848
52047,0.009657858
52369,0.008960848
52689,0.009657858
53331,0.015183985
53341,0.009961777
63455,0.026718054
63780,0.008960848
63783,0.01214566
64096,0.012509989
64104,0.008960848
64109,0.008605359
64422,0.012118628
65391,0.01214566
65705,0.007952084
65709,0.007952084
61568,0.010884581
62203,0.010001297
62850,0.007709
62851,0.057763979
63164,0.012118628
63491,0.015183985
63796,0.009657858
63799,0.023851132
63802,0.007952084
63812,0.010884581
64127,0.007952084
64449,0.018986389
64771,0.007709
65082,0.01214566
65399,0.010001297
66039,0.01214566
66048,0.008960848
71758,0.029037572
72077,0.01214566
72087,0.01214566
72405,0.015183985
72723,0.009657858
72735,0.029037572
73046,0.013625211
73682,0.008876455
73694,0.007709
73696,0.015183985
74317,0.049999677
74974,0.013625211
75286,0.007952084
75605,0.008960848
75612,0.01214566
75929,0.010884581
76239,0.009657858
71471,0.007709
71776,0.007952084
71779,0.01214566
72112,0.007952084
72417,0.011222596
72420,0.015183985
72425,0.026718054
73073,0.007709
73393,0.008876455
73714,0.010884581
74337,0.0260689
74347,0.007709
74354,0.02140101
74666,0.008876455
74667,0.01214566
74990,0.0260689
75949,0.015183985
75952,0.007709
71486,0.029037572
71805,0.026718054
71813,0.028875936
72130,0.007709
72437,0.00997899
82469,0.01214566
82788,0.009657858
82793,0.01214566
83111,0.010884581
83113,0.010884581
83420,0.039212063
83425,0.009657858
83428,0.01214566
83433,0.007709
83759,0.02313967
84381,0.02140101
84709,0.029037572
85024,0.026718054
85026,0.01214566
85671,0.023851132
35158,0.008605359
34851,0.008960848
34853,0.026718054
34859,0.007709
35162,0.010800883
35165,0.01214566
34865,0.007952084
34877,0.015183985
34898,0.007952084
35203,0.012509989
34902,0.008605359
34907,0.007952084
34930,0.032507148
34939,0.007952084
35249,0.026718054
35561,0.008876455
35568,0.01214566
35572,0.007952084
35574,0.010884581
35575,0.007709
35889,0.01214566
35583,0.014738803
35587,0.008960848
35597,0.023851132
35900,0.008960848
35602,0.035115715
35606,0.026718054
35922,0.007709
35936,0.007709
41020,0.055829901
41028,0.026718054
41344,0.008960848
41666,0.01214566
42319,0.029037572
42634,0.01214566
42944,0.015183985
42952,0.007952084
42954,0.007952084
43274,0.007709
43582,0.01214566
43590,0.008605359
43594,0.029037572
43909,0.015183985
43917,0.027968777
44561,0.015183985
45202,0.04498722
45210,0.007952084
41684,0.031865645
41691,0.011222596
42333,0.062019963
42660,0.007709
42963,0.012499007
42979,0.008960848
43287,0.007952084
44582,0.01214566
45233,0.007709
45544,0.023096094
45550,0.007952084
40729,0.009961777
41379,0.01214566
41395,0.02140101
4332,0.008876455
4346,0.009678065
4044,0.029037572
5031,0.010884581
5033,0.007952084
5057,0.023851132
4737,0.01214566
5067,0.023851132
4757,0.009961777
4758,0.01214566
4762,0.045877919
4780,0.01214566
5183,0.01214566
5191,0.010800883
5198,0.01214566
4802,0.01214566
5126,0.01214566
5132,0.029037572
4830,0.027968777
5154,0.013625211
4854,0.01214566
4861,0.007709
5180,0.007709
4574,0.007709
4896,0.016136732
4592,0.007709
4599,0.008960848
4914,0.02140101
4604,0.007952084
4932,0.007709
4623,0.009657858
4633,0.022058325
4636,0.008960848
4944,0.008876455
4949,0.010884581
4644,0.01214566
4977,0.026718054
4674,0.01214566
4986,0.010800883
4683,0.008960848
4686,0.008960848
4691,0.008960848
4700,0.02140101
5018,0.007952084
5341,0.010001297
5646,0.032507148
5647,0.01214566
5649,0.008960848
5661,0.007709
5671,0.023851132
5677,0.026718054
5375,0.016594095
5396,0.01214566
5410,0.007709
5411,0.007952084
5714,0.02140101
5427,0.007952084
5436,0.008960848
5725,0.039602488
5733,0.026718054
5454,0.064327069
10241,0.007952084
10566,0.007709
10579,0.008960848
929,0.026718054
935,0.0260689
1261,0.007952084
951,0.007709
952,0.01214566
955,0.018986389
1295,0.029037572
966,0.007952084
974,0.007709
1305,0.007709
995,0.026718054
998,0.007709
1403,0.049195886
1001,0.015653403
1009,0.021090478
1338,0.026578706
1029,0.01214566
1053,0.009961777
1062,0.007952084
1067,0.012509989
1071,0.009961777
9957,0.016934659
9960,0.035115715
9671,0.01214566
9680,0.018986389
9982,0.026718054
9700,0.02140101
9712,0.010884581
10023,0.035115715
10042,0.010001297
10043,0.013956727
10048,0.026718054
10049,0.007952084
10054,0.007952084
10057,0.008960848
10388,0.007952084
10396,0.007952084
10700,0.008605359
10716,0.01214566
10418,0.009961777
10730,0.023851132
10733,0.009657858
10429,0.026718054
10844,0.007952084
10856,0.008960848
10448,0.007952084
10451,0.010001297
10458,0.007709
10743,0.007952084
10753,0.007952084
10756,0.007709
10465,0.026718054
10488,0.029037572
10490,0.022635624
10495,0.01214566
10510,0.009657858
10818,0.017911229
10531,0.008960848
10823,0.007709
10544,0.055829901
10553,0.007709
31437,0.007952084
31442,0.007952084
31451,0.02140101
31453,0.090248086
31143,0.015183985
31146,0.008960848
31149,0.01214566
31460,0.010884581
31466,0.018986389
31472,0.01214566
31788,0.008960848
32113,0.01214566
31807,0.008605359
32122,0.007709
32127,0.009961777
31820,0.011222596
31832,0.01214566
32267,0.009657858
31860,0.008605359
31873,0.015183985
32168,0.023851132
32177,0.01214566
31882,0.01214566
31896,0.032507148
31910,0.009678065
32211,0.029037572
32232,0.032507148
31943,0.01214566
31950,0.009678065
32243,0.042770665
31966,0.011688652
31976,0.026718054
31666,0.009961777
31674,0.008605359
31989,0.029037572
31990,0.010884581
31991,0.013625211
31997,0.008960848
31692,0.01214566
31719,0.008876455
31723,0.032507148
32039,0.009678065
32042,0.010884581
31739,0.01214566
32061,0.010001297
32062,0.007709
44333,0.032143425
44656,0.012509989
44658,0.010884581
44976,0.011222596
44990,0.01214566
45312,0.010800883
45644,0.010001297
41146,0.01214566
41459,0.035403319
41462,0.014291247
41787,0.008605359
42422,0.015183985
42743,0.009961777
43076,0.008960848
44350,0.009657858
44353,0.009961777
44356,0.046374977
25163,0.01214566
25490,0.009678065
25811,0.01214566
25501,0.010884581
25502,0.007952084
25505,0.007952084
25835,0.02140101
25966,0.008876455
25973,0.007952084
25570,0.008876455
25862,0.007952084
25871,0.007952084
25877,0.009961777
34738,0.008876455
34445,0.009657858
34447,0.010884581
34754,0.01214566
34764,0.029037572
34772,0.015183985
34775,0.009961777
34484,0.009961777
34180,0.015183985
34199,0.010884581
34527,0.01214566
34226,0.01765178
34555,0.009657858
34243,0.015183985
34252,0.010884581
34267,0.007952084
34276,0.02140101
34584,0.007709
34283,0.01214566
34290,0.009678065
34291,0.009657858
34295,0.026718054
34599,0.015183985
34603,0.026578706
35267,0.01214566
35270,0.0260689
35279,0.01765178
35300,0.015183985
34981,0.007709
35338,0.026718054
35425,0.015183985
35426,0.010884581
35432,0.039602488
35022,0.023851132
35347,0.010800883
35062,0.053359829
35072,0.007709
35104,0.026718054
35106,0.01214566
35114,0.007709
35131,0.012258117
21744,0.007952084
21754,0.020123277
21784,0.008960848
22088,0.007952084
22095,0.009961777
21806,0.015183985
21811,0.008960848
22099,0.023851132
22104,0.032507148
21819,0.01214566
21822,0.007952084
21834,0.01214566
21858,0.028875936
21862,0.026718054
21875,0.007709
22163,0.007952084
21909,0.007952084
21910,0.013625211
21913,0.039212063
21650,0.007952084
21966,0.007709
21977,0.01214566
21662,0.011222596
21665,0.008960848
21668,0.007952084
21683,0.007709
21697,0.015183985
22665,0.012509989
31548,0.013625211
31553,0.008960848
31555,0.008876455
31232,0.008876455
31647,0.013625211
31243,0.015183985
31266,0.026718054
31274,0.012118628
31590,0.017911229
31294,0.010884581
31296,0.029037572
31600,0.007709
31314,0.008960848
31358,0.008605359
31369,0.007952084
31376,0.009961777
31070,0.007709
31382,0.008605359
31385,0.007952084
31393,0.008960848
31086,0.007709
31114,0.010884581
12861,0.008960848
13182,0.01214566
13185,0.007952084
13190,0.008960848
13194,0.026718054
13536,0.01214566
13542,0.012118628
13559,0.007709
13600,0.014291247
13608,0.018986389
13922,0.007709
13934,0.010884581
13634,0.008960848
13948,0.042335127
13961,0.044026136
13973,0.028175866
13976,0.008876455
13987,0.008960848
13989,0.007952084
13993,0.008876455
13685,0.032507148
13397,0.011222596
13714,0.007952084
13408,0.012509989
13416,0.026718054
13734,0.01214566
13429,0.01214566
13743,0.018986389
13745,0.009657858
13440,0.026718054
13455,0.007952084
13461,0.01214566
13469,0.032507148
13780,0.008605359
13483,0.007952084
13486,0.008960848
13805,0.039212063
13503,0.0260689
13821,0.007709
14154,0.009678065
14463,0.016934659
14464,0.013956727
14467,0.007952084
14484,0.02140101
14494,0.010884581
14182,0.029037572
14513,0.009657858
14517,0.01214566
14200,0.010001297
14230,0.01214566
14533,0.011222596
14536,0.0260689
14245,0.025223449
14246,0.015183985
14260,0.007952084
14263,0.042991154
14571,0.01214566
14574,0.008876455
14278,0.010001297
14279,0.018986389
14585,0.01765178
14589,0.026578706
14590,0.007709
3494,0.010884581
3497,0.007709
3824,0.009961777
3839,0.01214566
3513,0.0260689
3937,0.008876455
3532,0.010001297
3533,0.008605359
3537,0.032507148
3848,0.01214566
3543,0.032507148
3549,0.02140101
3553,0.007952084
3871,0.007709
3880,0.008960848
3568,0.039212063
3573,0.012258117
3898,0.0260689
3585,0.007709
3591,0.01214566
3313,0.031805158
3628,0.01214566
3356,0.009657858
3666,0.008876455
3390,0.008605359
3704,0.010001297
3719,0.009961777
3406,0.01214566
3722,0.023851132
3438,0.026718054
3743,0.008876455
3751,0.007952084
4386,0.007709
4081,0.010884581
4084,0.008960848
4086,0.032507148
4407,0.01214566
4420,0.01214566
4106,0.02140101
4108,0.015183985
4113,0.026718054
4114,0.007709
4429,0.010001297
4433,0.032507148
4124,0.007709
4145,0.029037572
4465,0.01214566
4218,0.007952084
4504,0.008960848
4520,0.01214566
4523,0.007709
4249,0.008960848
3946,0.008960848
3950,0.013956727
4293,0.010800883
5752,0.01214566
5470,0.026718054
5775,0.008960848
5777,0.008960848
5492,0.011222596
5494,0.069797494
5495,0.014738803
5788,0.023983283
5793,0.01214566
14054,0.032507148
14057,0.010884581
14398,0.008960848
14416,0.02140101
14098,0.009657858
14100,0.01214566
14103,0.008605359
14106,0.007952084
14421,0.01214566
14426,0.026718054
14430,0.01214566
14128,0.008876455
14130,0.0260689
15110,0.008605359
14789,0.01214566
14793,0.008960848
15120,0.007952084
15128,0.008876455
15138,0.007952084
14849,0.008876455
14853,0.007952084
14859,0.007952084
15199,0.029037572
14903,0.007709
14929,0.009961777
14935,0.023851132
15253,0.007952084
14937,0.007952084
14949,0.011222596
14951,0.010474522
14676,0.01214566
15000,0.026718054
15014,0.009961777
14712,0.02140101
15022,0.008960848
15037,0.010884581
15041,0.011222596
14753,0.009961777
15062,0.007709
15072,0.007952084
14772,0.023851132
14775,0.008960848
15736,0.008960848
15421,0.007952084
15424,0.029037572
15437,0.010884581
15752,0.023851132
15755,0.01214566
2158,0.008876455
2160,0.015653403
2161,0.007952084
2490,0.01214566
2493,0.015183985
2497,0.055829901
3120,0.007952084
3123,0.011222596
2830,0.01214566
3145,0.012118628
2871,0.010884581
3282,0.009657858
3288,0.008960848
2883,0.007709
3187,0.010884581
2904,0.039212063
2909,0.007952084
3205,0.01214566
3234,0.009657858
3244,0.007952084
3245,0.007709
3248,0.047575943
2960,0.01214566
2964,0.015183985
3260,0.008960848
3275,0.008605359
3279,0.026718054
2984,0.009678065
2987,0.009657858
2992,0.008605359
2708,0.007709
2718,0.008605359
3022,0.010800883
3036,0.014738803
2720,0.007709
2735,0.008960848
3053,0.007952084
3060,0.01214566
3071,0.018986389
3760,0.008960848
12309,0.008876455
12322,0.039587572
12352,0.010800883
12692,0.014738803
12382,0.01214566
12703,0.008876455
12710,0.007952084
12727,0.010001297
12428,0.023851132
12444,0.007952084
12447,0.028462524
12451,0.026718054
77557,0.008960848
78505,0.01214566
78821,0.007952084
79784,0.008960848
80100,0.007709
80423,0.010001297
80437,0.039212063
80750,0.028175866
81060,0.02140101
81068,0.010001297
81075,0.009961777
81381,0.01214566
76604,0.010001297
77252,0.008876455
77562,0.008605359
78212,0.007709
78214,0.029037572
78518,0.010884581
78520,0.052329071
78521,0.023851132
78857,0.008605359
79163,0.007709
79803,0.007952084
80123,0.007952084
80136,0.039212063
80138,0.007952084
80450,0.008960848
80454,0.008876455
80455,0.023851132
80457,0.026578706
81401,0.009982613
2266,0.009961777
2595,0.01214566
2289,0.008960848
2609,0.010001297
2611,0.01214566
2613,0.009961777
2616,0.007952084
2628,0.007709
2654,0.008960848
2346,0.010884581
2356,0.008605359
2057,0.01214566
2364,0.026718054
2372,0.023851132
2083,0.01214566
2115,0.007952084
2116,0.008605359
2117,0.009657858
2442,0.02140101
2454,0.007952084
2147,0.010001297
71153,0.015653403
66365,0.013956727
66998,0.011222596
67003,0.007952084
67007,0.032507148
67012,0.010884581
67317,0.039587572
57463,0.010884581
58098,0.009657858
58105,0.007952084
58414,0.007709
58420,0.029037572
58746,0.01214566
59061,0.01214566
59068,0.057542212
59375,0.01214566
59376,0.020123277
59387,0.015183985
59700,0.01214566
60026,0.008605359
60028,0.015653403
60348,0.010884581
60655,0.01214566
60657,0.01214566
60973,0.029037572
56201,0.026718054
56525,0.010884581
56837,0.008960848
56843,0.011222596
56845,0.007952084
57164,0.01214566
57805,0.007709
57806,0.008960848
57808,0.018317258
58111,0.008605359
58436,0.039212063
58447,0.007952084
58751,0.027968777
59073,0.009657858
59396,0.013956727
59405,0.01214566
59716,0.01214566
60037,0.007709
60045,0.01214566
60357,0.010001297
60363,0.009961777
60672,0.05153371
60684,0.01214566
60687,0.026718054
61006,0.007952084
56220,0.025743781
56222,0.008960848
56539,0.007952084
56540,0.014738803
56548,0.010001297
57497,0.007709
57509,0.01214566
57821,0.016595202
58135,0.008876455
58458,0.01214566
58790,0.02313967
59424,0.010884581
59425,0.016136732
65474,0.01029291
65484,0.008960848
65797,0.007952084
65810,0.007709
65812,0.007709
70503,0.01214566
70505,0.007952084
70825,0.013113271
70831,0.009657858
70832,0.007709
32454,0.026718054
32781,0.026718054
32789,0.012509989
32812,0.008960848
32506,0.007952084
32512,0.009657858
32844,0.010800883
32845,0.032507148
32852,0.026578706
32875,0.007952084
32897,0.01214566
32585,0.007709
32279,0.007709
32600,0.011222596
32610,0.008960848
32615,0.01214566
32635,0.007709
32638,0.023851132
32340,0.02140101
32345,0.009961777
32664,0.007952084
32674,0.007709
32393,0.009657858
32702,0.007709
32411,0.007952084
33048,0.010884581
33094,0.048045482
33402,0.02140101
33413,0.012118628
33105,0.007952084
